dataset_key	title	doi	license	type	sub_type	hosting_organization_key	hosting_organization_title	hosting_country	publishing_organization_key	publishing_organization_title	publishing_country	endorsing_node_key	network_keys	project_identifier	occurrence_records_count	name_usages_count
22dd29b2-ecdc-449f-96d0-e50141952ea3	OWRG Insects	10.15468/aqd242	CC_BY_4_0	OCCURRENCE		07f617d0-c688-11d8-bf62-b8a03c50a862	National Biodiversity Network	GB	64033c33-b30b-40e3-ba07-144c41fe7aa5	Orkney Wildlife Recording Group	GB	d897a5b9-35ee-4232-94bd-b0bcaac003c2			938	
c8bdeeef-3c89-41b5-aa2e-2778976cc3cd	Phenological Center - Insects	10.15468/w8kbfb	CC_BY_4_0	OCCURRENCE		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	Finnish Biodiversity Information Facility	FI	6fc06c4f-cbc6-408b-9d93-3061dfe015c9	Komarov Botanical Institute, Russian Academy of Sciences, St. Petersburg	RU	7f48e0c8-5c96-49ec-b972-30748e339115			3192	
297ecc07-da20-4ebf-9f41-4f80330b4b33	UTEP Insects (Arctos)	10.15468/cfddho	CC0_1_0	OCCURRENCE	SPECIMEN	2053a639-84c3-4be5-b8bc-96b6d88a976c	VertNet	US	52c8f620-1816-11da-9544-b8a03c50a862	University of Texas at El Paso Biodiversity Collections	US	8618c64a-93e0-4300-b546-7249e5148ed2	1f2c0cbe-40df-43f6-ba07-e76133e78c31		41328	
5180805a-a528-40ea-a03b-4911ef4e4ef6	Insects Outer Hebrides	10.15468/lbnrps	CC_BY_4_0	OCCURRENCE		07f617d0-c688-11d8-bf62-b8a03c50a862	National Biodiversity Network	GB	3636faf8-c86a-42c5-9bc9-a2d4e6c0c891	Outer Hebrides Biological Recording	GB	d897a5b9-35ee-4232-94bd-b0bcaac003c2			72201	
f1b9d909-2315-49ee-ab86-9bb4118a2a57	insects-of-liwonde-national-park-1972	10.15468/8ekxhx	CC_BY_NC_4_0	OCCURRENCE		b43aa701-bc51-40a4-9f6c-b37e41d0e660	National Commission for Science and Technology (NCST)	MW	1e5280a0-3641-465a-8201-3334b11a7ab3	Wildlife and Environmental Society of Malawi	MW	2a42e4d7-ad4a-41b3-84c4-de4aa7b74d35		African Biodiversity Challenge 2018	7	
592c9898-f961-4f9b-a833-5de174eb834b	Neuropteroid Insects from Guam	10.5281/zenodo.5159923	CC0_1_0	CHECKLIST		7ce8aef0-9e92-11dc-8738-b8a03c50a862	Plazi.org taxonomic treatments database	CH	7ce8aef0-9e92-11dc-8738-b8a03c50a862	Plazi.org taxonomic treatments database	CH	ffb07bec-2d10-492d-9c37-361fe0b79427			0	51
1e3205f0-9169-11db-9f6d-b8a03c50a862	Insects of New Caledonia	10.15468/8kjf9k	CC_BY_NC_4_0	OCCURRENCE	SPECIMEN	17fba53b-3c1b-4689-82e1-4d66ad4f445c	GBIF Poland	PL	218534d0-925e-11da-8900-b8a03c50a862	University of Wrocław	PL	2618bfdf-e194-4911-a241-80db3107bc51			444	
481fd878-0284-4dd4-86a0-86b0e3d02cbd	Phenological Center - Insects (Murmansk)	10.15468/uyfvf0	CC_BY_4_0	OCCURRENCE		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	Finnish Biodiversity Information Facility	FI	6fc06c4f-cbc6-408b-9d93-3061dfe015c9	Komarov Botanical Institute, Russian Academy of Sciences, St. Petersburg	RU	7f48e0c8-5c96-49ec-b972-30748e339115			316	
05f10202-2407-4424-b13a-45e6376c1efb	Phenological Center - Insects (Karelia)	10.15468/t6txfa	CC_BY_4_0	OCCURRENCE		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	Finnish Biodiversity Information Facility	FI	6fc06c4f-cbc6-408b-9d93-3061dfe015c9	Komarov Botanical Institute, Russian Academy of Sciences, St. Petersburg	RU	7f48e0c8-5c96-49ec-b972-30748e339115			164	
278feab4-2bb0-4f76-8754-fef92d0cb1f1	Phenological Center - Insects (Arkhangelsk)	10.15468/ubn7bi	CC_BY_4_0	OCCURRENCE		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	Finnish Biodiversity Information Facility	FI	6fc06c4f-cbc6-408b-9d93-3061dfe015c9	Komarov Botanical Institute, Russian Academy of Sciences, St. Petersburg	RU	7f48e0c8-5c96-49ec-b972-30748e339115			1524	
